stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
151,November - M111994,Andhra Pradesh,Hyderabad,,Industrial Area,8.2,11.2,,31,,,11-01-1994
152,November - M111994,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",31.7,31.4,,200,,,11-01-1994
150,November - M111994,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",16.7,10.3,,167,,,11-01-1994
202,December - M121994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,3.1,8.5,,,,,12-01-1994
203,December - M121994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,25.5,7.2,,,,,12-01-1994
95,December - M121994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,2,14.2,,,,,12-01-1994
150,December - M121994,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",13.6,16.6,,200,,,12-01-1994
152,December - M121994,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",36.8,44.7,,262,,,12-01-1994
151,December - M121994,Andhra Pradesh,Hyderabad,,Industrial Area,13.9,14.4,,97,,,12-01-1994
95,February_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,10.8,91.4,,236,,,02-01-1995
95,March_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,20,59.4,,328,,,03-01-1995
95,April_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,19.1,85.1,,251,,,04-01-1995
95,May_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,44.3,192.4,,209,,,05-01-1995
95,June_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,20.2,57.4,,226,,,06-01-1995
95,July_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,26.8,101.7,,247,,,07-01-1995
95,August_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,31,111.3,,236,,,08-01-1995
95,November_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,40.6,87.2,,362,,,11-01-1995
95,December_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,22.7,41.6,,284,,,12-01-1995
150,January_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",13.9,17.3,,82,,,01-01-1995
150,February_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",9.3,16.2,,127,,,02-01-1995
150,March_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",11,20.5,,134,,,03-01-1995
150,April_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",9.6,14,,115,,,04-01-1995
150,May_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",8.5,15.6,,168,,,05-01-1995
150,July_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",12.8,18.4,,120,,,07-01-1995
150,August_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",14.8,15.3,,120,,,08-01-1995
150,September_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",19,24.2,,146,,,09-01-1995
150,October_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",7.9,10.9,,63,,,10-01-1995
150,November_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",11.5,7.9,,232,,,11-01-1995
150,December_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",14.3,20.4,,151,,,12-01-1995
151,January_1995,Andhra Pradesh,Hyderabad,,Industrial Area,10.1,11.1,,39,,,01-01-1995
151,February_1995,Andhra Pradesh,Hyderabad,,Industrial Area,14.4,11,,143,,,02-01-1995
151,March_1995,Andhra Pradesh,Hyderabad,,Industrial Area,9.1,15.3,,102,,,03-01-1995
151,April_1995,Andhra Pradesh,Hyderabad,,Industrial Area,7.9,11.4,,70,,,04-01-1995
151,May_1995,Andhra Pradesh,Hyderabad,,Industrial Area,7.1,8.6,,75,,,05-01-1995
151,June_1995,Andhra Pradesh,Hyderabad,,Industrial Area,10.7,22.5,,122,,,06-01-1995
151,July_1995,Andhra Pradesh,Hyderabad,,Industrial Area,11.5,15.7,,82,,,07-01-1995
151,August_1995,Andhra Pradesh,Hyderabad,,Industrial Area,22.1,18.2,,146,,,08-01-1995
151,September_1995,Andhra Pradesh,Hyderabad,,Industrial Area,8.2,13.3,,128,,,09-01-1995
151,October_1995,Andhra Pradesh,Hyderabad,,Industrial Area,16.9,16.1,,62,,,10-01-1995
151,November_1995,Andhra Pradesh,Hyderabad,,Industrial Area,10.5,20.1,,88,,,11-01-1995
151,December_1995,Andhra Pradesh,Hyderabad,,Industrial Area,9.1,14.8,,75,,,12-01-1995
152,January_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",38.1,34.8,,218,,,01-01-1995
152,February_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",28.1,38.9,,240,,,02-01-1995
152,March_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",18.1,39,,251,,,03-01-1995
152,April_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",27,35.4,,184,,,04-01-1995
152,May_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",13.8,21.4,,175,,,05-01-1995
152,June_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",13.7,37.6,,209,,,06-01-1995
152,July_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",10.1,32.1,,145,,,07-01-1995
152,August_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",10.8,31.8,,238,,,08-01-1995
152,September_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",6.3,26.6,,122,,,09-01-1995
152,October_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",17.7,36.8,,143,,,10-01-1995
152,November_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",41,35.4,,171,,,11-01-1995
152,December_1995,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",11.4,62.3,,243,,,12-01-1995
202,January_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,6.9,56.9,,110,,,01-01-1995
202,February_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,6,32.5,,121,,,02-01-1995
202,March_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,10.2,54.3,,117,,,03-01-1995
202,April_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,6.6,20.6,,160,,,04-01-1995
202,May_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,14.3,25.4,,209,,,05-01-1995
202,July_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,15.1,23.5,,120,,,07-01-1995
202,August_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,14.4,26.8,,310,,,08-01-1995
202,September_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,10.9,22.8,,,,,09-01-1995
202,October_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,31.8,56.6,,,,,10-01-1995
202,November_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,21.3,39.1,,,,,11-01-1995
202,December_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,13.2,13.2,,,,,12-01-1995
203,January_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,10.4,35.9,,270,,,01-01-1995
203,March_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,8.9,26.9,,202,,,03-01-1995
203,April_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,7.9,26.3,,232,,,04-01-1995
203,May_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,21.7,35.1,,179,,,05-01-1995
203,June_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,38.8,25.4,,197,,,06-01-1995
203,July_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,32,66.8,,197,,,07-01-1995
203,August_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,,15.2,60.1,,215,,,08-01-1995
